品牌,目标消费群体,分类
AZ国际名品,26-40岁,女装
可为时尚女装,25-35岁,女装
时尚年代,25-35岁,女装
玛泰迩,25-35岁,女装
陶,26-40岁,女装
香莎,30-50岁,女装
诗曼可,26-40岁,女装
UMSK,25-35岁,女装
Disiaier,26-40岁,女装
伊比莎,26-40岁,女装
衣衫衣饰,26-40岁,女装
芬梵尼.瑟琳,26-40岁,女装
翩翩女孩,26-40岁,女装
丹比奴皮具,26-40岁,女装
赑琪,26-40岁,女装
纤莉秀,26-40岁,女装
爱莉缇纳,20-35岁,女装
西子印象,20-45岁,女装
简爱,26-40岁,女装
悦姿,26-40岁,女装
芭莉纯,20-35岁,女装
尘色,25-45岁,女装
茜舞,25-45岁,女装
禾金,28-45岁,女装
法思琳,26-40岁,女装
塔她,25-38,女装
荻纳,22-38岁,女装
卡芙芮,25-45岁,女装
班若姿,25-35岁,女装
宗洋,25-45岁,女装
沐衣言,26-38岁,女装
安吉莎梅,20-45岁,女装
BISELENA,25-35,女装
东方颖秀,20-35岁,女装
妍琳,25-45岁,女装
孚2,26-40岁,女装
LAIDEE,28-48岁,女装
维斯凯,26-40岁,女装
渝都.国际,22-45岁,女装
月笑纱,25-35岁,女装
歌塔希,25-38岁,女装
茵符,18-28岁,女装
偶莉,19-25岁,女装
吉杰欧缇,20-30岁,女装
蒙蝶,25-50岁,女装
阿玛施,25-45岁,女装
雪蔻时尚女装,25-35岁,女装
爱博·琼斯,26-40岁,女装
贝黎,26-40岁,女装
耶丽雅时尚女装,26-40岁,女装
潮牌,19-25岁,女装
容子木,25-45岁,女装
可姿伊女装,26-40岁,女装
伊可爱,25—35岁,女装
弗曼的,0-3岁,女装
拉维莎,26-40岁,女装
7th tactus,19-38,女装
可菲雅妮,26-40岁,女装
摩卡汇,26-40岁,女装
欧品,26-40岁,女装
印象-主题,25-45岁,女装
MIE FACHION,26-40岁,女装
久景,26-40岁,女装
惊喜,26-40岁,女装
衣门雅集,26-40岁,女装
PH5,26-40岁,女装
伊妠娜,20-50岁,女装
有瘾,19-35,女装
月白,不限,女装
缇素 菲迪,26-40岁,女装
缤纷叶,不限,女装
惊意Miss人渔馡悦,19-40,女装
柏诗姬,26-40岁,女装
米芙兰,26-40岁,女装
山水雨稞,20-35,女装
博宝莉,28-38,女装
皮尔·卡丹 ,30-45岁,女装
 M'S,26-40岁,女装
韩屋里,26-40岁,女装
缀,25-36,女装
VIVA HEART,19-25岁,女装
K&CH,26-40岁,女装
茉蒽,26-40岁,女装
菂诺,26-40岁,女装
